code_postal;nom_commune_complet;code_departement;nom_departement;code_region;nom_region
1400;L'Abergement-Clémenciat;1;Ain;84;Auvergne-Rhône-Alpes
1640;L'Abergement-de-Varey;1;Ain;84;Auvergne-Rhône-Alpes
1500;Ambérieu-en-Bugey;1;Ain;84;Auvergne-Rhône-Alpes
1330;Ambérieux-en-Dombes;1;Ain;84;Auvergne-Rhône-Alpes
1300;Ambléon;1;Ain;84;Auvergne-Rhône-Alpes
1500;Ambronay;1;Ain;84;Auvergne-Rhône-Alpes
1500;Ambutrix;1;Ain;84;Auvergne-Rhône-Alpes
1300;Andert-et-Condon;1;Ain;84;Auvergne-Rhône-Alpes
1350;Anglefort;1;Ain;84;Auvergne-Rhône-Alpes
1100;Apremont;1;Ain;84;Auvergne-Rhône-Alpes
1110;Aranc;1;Ain;84;Auvergne-Rhône-Alpes
1230;Arandas;1;Ain;84;Auvergne-Rhône-Alpes
1100;Arbent;1;Ain;84;Auvergne-Rhône-Alpes
1300;Arboys en Bugey;1;Ain;84;Auvergne-Rhône-Alpes
1300;Arboys en Bugey;1;Ain;84;Auvergne-Rhône-Alpes
1190;Arbigny;1;Ain;84;Auvergne-Rhône-Alpes
1230;Argis;1;Ain;84;Auvergne-Rhône-Alpes
1510;Armix;1;Ain;84;Auvergne-Rhône-Alpes
1480;Ars-sur-Formans;1;Ain;84;Auvergne-Rhône-Alpes
1510;Artemare;1;Ain;84;Auvergne-Rhône-Alpes
1570;Asnières-sur-Saône;1;Ain;84;Auvergne-Rhône-Alpes
1340;Attignat;1;Ain;84;Auvergne-Rhône-Alpes
1380;Bâgé-Dommartin;1;Ain;84;Auvergne-Rhône-Alpes
1380;Bâgé-le-Châtel;1;Ain;84;Auvergne-Rhône-Alpes
1360;Balan;1;Ain;84;Auvergne-Rhône-Alpes
1990;Baneins;1;Ain;84;Auvergne-Rhône-Alpes
1270;Beaupont;1;Ain;84;Auvergne-Rhône-Alpes
1480;Beauregard;1;Ain;84;Auvergne-Rhône-Alpes
1100;Bellignat;1;Ain;84;Auvergne-Rhône-Alpes
1360;Béligneux;1;Ain;84;Auvergne-Rhône-Alpes
1360;Béligneux;1;Ain;84;Auvergne-Rhône-Alpes
1360;Béligneux;1;Ain;84;Auvergne-Rhône-Alpes
1360;Béligneux;1;Ain;84;Auvergne-Rhône-Alpes
1200;Bellegarde-sur-Valserine;1;Ain;84;Auvergne-Rhône-Alpes
1300;Belley;1;Ain;84;Auvergne-Rhône-Alpes
1130;Belleydoux;1;Ain;84;Auvergne-Rhône-Alpes
1260;Belmont-Luthézieu;1;Ain;84;Auvergne-Rhône-Alpes
1260;Belmont-Luthézieu;1;Ain;84;Auvergne-Rhône-Alpes
1470;Bénonces;1;Ain;84;Auvergne-Rhône-Alpes
1370;Bény;1;Ain;84;Auvergne-Rhône-Alpes
1350;Béon;1;Ain;84;Auvergne-Rhône-Alpes
1340;Béréziat;1;Ain;84;Auvergne-Rhône-Alpes
1500;Bettant;1;Ain;84;Auvergne-Rhône-Alpes
1290;Bey;1;Ain;84;Auvergne-Rhône-Alpes
1700;Beynost;1;Ain;84;Auvergne-Rhône-Alpes
1200;Billiat;1;Ain;84;Auvergne-Rhône-Alpes
1330;Birieux;1;Ain;84;Auvergne-Rhône-Alpes
1290;Biziat;1;Ain;84;Auvergne-Rhône-Alpes
1150;Blyes;1;Ain;84;Auvergne-Rhône-Alpes
1120;La Boisse;1;Ain;84;Auvergne-Rhône-Alpes
1190;Boissey;1;Ain;84;Auvergne-Rhône-Alpes
1380;Boissey;1;Ain;84;Auvergne-Rhône-Alpes
1450;Bolozon;1;Ain;84;Auvergne-Rhône-Alpes
1330;Bouligneux;1;Ain;84;Auvergne-Rhône-Alpes
1000;Bourg-en-Bresse;1;Ain;84;Auvergne-Rhône-Alpes
1000;Bourg-en-Bresse;1;Ain;84;Auvergne-Rhône-Alpes
1800;Bourg-Saint-Christophe;1;Ain;84;Auvergne-Rhône-Alpes
1800;Bourg-Saint-Christophe;1;Ain;84;Auvergne-Rhône-Alpes
1640;Boyeux-Saint-Jérôme;1;Ain;84;Auvergne-Rhône-Alpes
1190;Boz;1;Ain;84;Auvergne-Rhône-Alpes
1300;Brégnier-Cordon;1;Ain;84;Auvergne-Rhône-Alpes
1260;Brénaz;1;Ain;84;Auvergne-Rhône-Alpes
1110;Brénod;1;Ain;84;Auvergne-Rhône-Alpes
1300;Brens;1;Ain;84;Auvergne-Rhône-Alpes
1360;Bressolles;1;Ain;84;Auvergne-Rhône-Alpes
1360;Bressolles;1;Ain;84;Auvergne-Rhône-Alpes
1460;Brion;1;Ain;84;Auvergne-Rhône-Alpes
1470;Briord;1;Ain;84;Auvergne-Rhône-Alpes
